datetime,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Walking duration (ms)
15:45:00.000Z,16:00:00.000Z,16.7265625,,41.6749033,2.2856081,41.6749542,2.2856413,,,,,,,,900000,
16:00:00.000Z,16:15:00.000Z,16.7265625,,,,,,,,,,,,,900000,
16:15:00.000Z,16:30:00.000Z,16.7265625,,,,,,,,,,,,,900000,
16:30:00.000Z,16:45:00.000Z,16.7265625,,,,,,,,,,,,,900000,
16:45:00.000Z,17:00:00.000Z,16.7265625,,,,,,,,,,,,,900000,
17:00:00.000Z,17:15:00.000Z,16.7265625,,,,,,,,,,,,,900000,
17:15:00.000Z,17:30:00.000Z,16.7265625,,,,,,,,,,,,,900000,
17:30:00.000Z,17:45:00.000Z,16.7265625,,,,,,,,,,,,,900000,
17:45:00.000Z,18:00:00.000Z,16.7265625,,,,,,,,,28,,,,900000,
18:00:00.000Z,18:15:00.000Z,16.7265625,,,,,,,,,,,,,900000,
18:15:00.000Z,18:30:00.000Z,16.7265625,,,,,,,,,,,,,900000,
18:30:00.000Z,18:45:00.000Z,16.7265625,,,,,,,,,,,,,900000,
18:45:00.000Z,19:00:00.000Z,16.7265625,,,,,,,,,,,,,900000,
19:00:00.000Z,19:15:00.000Z,16.7265625,,41.6750202,2.2858947,41.6750202,2.2858947,,,,,,,,900000,
19:15:00.000Z,19:30:00.000Z,16.7265619,,41.6748983,2.2856124,41.6749601,2.2856351,,,,,,,,900000,
19:30:00.000Z,19:45:00.000Z,16.72656159,,,,,,,,,,,,,900000,
19:45:00.000Z,20:00:00.000Z,25.66103478,45.37122926,41.6750033,2.2858873,41.6750033,2.2858873,0.423553675,0.570237219,0.276870131,98,,,,735304,164696
20:00:00.000Z,20:15:00.000Z,43.2302618,458.632604,41.6851029,2.2831185,41.6860584,2.2854258,0.968612573,1.660055161,0.320014536,643,,,,147782,488563
20:15:00.000Z,20:30:00.000Z,38.50102675,339.4106598,41.6809405,2.2816137,41.68612,2.2872057,1.048905029,1.173125148,0.911444426,649,,,,498614,401386
20:30:00.000Z,20:45:00.000Z,16.72656059,,41.685673,2.2871808,41.6857378,2.2872091,,,,,,,,900000,
20:45:00.000Z,21:00:00.000Z,16.72656059,,,,,,,,,,,,,900000,
21:00:00.000Z,21:15:00.000Z,16.72656059,,,,,,,,,,,,,900000,
21:15:00.000Z,21:30:00.000Z,16.72656059,,,,,,,,,,,,,900000,
21:30:00.000Z,21:45:00.000Z,16.72656051,,,,,,,,,,,,,900000,
21:45:00.000Z,22:00:00.000Z,16.72656051,,,,,,,,,,,,,900000,
22:00:00.000Z,22:15:00.000Z,40.35379507,438.1892309,41.6858135,2.2853483,41.6858135,2.2853483,1.189596136,1.529750586,0.358102411,604,,,,351314,435539
22:15:00.000Z,22:30:00.000Z,26.60121114,57.20726395,41.67484,2.2855952,41.6748885,2.285678,0.691360498,1.072775602,0.288425684,94,,,,648154,182027
22:30:00.000Z,22:45:00.000Z,16.72656238,,41.6749016,2.2856627,41.6749814,2.2857593,,,,,,,,900000,
22:45:00.000Z,23:00:00.000Z,16.72656238,,,,,,,,,,,,,900000,
23:00:00.000Z,23:15:00.000Z,16.72656238,,,,,,,,,22,,,,900000,
23:15:00.000Z,23:30:00.000Z,18.04908109,18.30508327,41.6749151,2.2856719,41.6749829,2.2857288,2.557574268,3.809999943,0.328455538,31,,,,875621,24379
23:30:00.000Z,23:45:00.000Z,16.7265625,,,,,,2.579999924,2.579999924,2.579999924,,,,,900000,
23:45:00.000Z,00:00:00.000Z,16.7265625,,,,,,2.579999924,2.579999924,2.579999924,,,,,900000,
