datetime,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Walking duration (ms)
00:00:00.000Z,00:15:00.000Z,16.7265625,,,,,,,,,,,,,900000,
00:15:00.000Z,00:30:00.000Z,16.7265625,,,,,,,,,,,,,900000,
00:30:00.000Z,00:45:00.000Z,16.7265625,,41.6750126,2.2858209,41.6750263,2.2858947,,,,,,,,900000,
00:45:00.000Z,01:00:00.000Z,16.7265625,,,,,,,,,,,,,900000,
01:00:00.000Z,01:15:00.000Z,16.7265625,,41.6749403,2.2857066,41.6749403,2.2857066,,,,,,,,900000,
01:15:00.000Z,01:30:00.000Z,16.7265625,,41.6749919,2.2858788,41.6749919,2.2858788,,,,,,,,900000,
01:30:00.000Z,01:45:00.000Z,16.7265625,,,,,,,,,,,,,900000,
01:45:00.000Z,02:00:00.000Z,16.7265625,,,,,,,,,,,,,900000,
02:00:00.000Z,02:15:00.000Z,16.7265625,,,,,,,,,,,,,900000,
02:15:00.000Z,02:30:00.000Z,16.7265625,,,,,,,,,,,,,900000,
02:30:00.000Z,02:45:00.000Z,16.7265625,,41.6749912,2.2858137,41.6749912,2.2858137,,,,,,,,900000,
02:45:00.000Z,03:00:00.000Z,16.7265625,,,,,,,,,,,,,900000,
03:00:00.000Z,03:15:00.000Z,16.7265625,,,,,,,,,,,,,900000,
03:15:00.000Z,03:30:00.000Z,16.7265625,,,,,,,,,,,,,900000,
03:30:00.000Z,03:45:00.000Z,16.7265625,,,,,,,,,,,,,900000,
03:45:00.000Z,04:00:00.000Z,16.7265625,,,,,,,,,,,,,900000,
04:00:00.000Z,04:15:00.000Z,16.7265625,,,,,,,,,,,,,900000,
04:15:00.000Z,04:30:00.000Z,16.7265625,,,,,,,,,,,,,900000,
04:30:00.000Z,04:45:00.000Z,16.7265625,,,,,,,,,,,,,900000,
04:45:00.000Z,05:00:00.000Z,16.7265625,,,,,,,,,,,,,900000,
05:00:00.000Z,05:15:00.000Z,16.7265625,,,,,,,,,,,,,900000,
05:15:00.000Z,05:30:00.000Z,16.7265625,,,,,,,,,,,,,900000,
05:30:00.000Z,05:45:00.000Z,16.7265625,,,,,,,,,,,,,900000,
05:45:00.000Z,06:00:00.000Z,16.7265625,,,,,,,,,,,,,900000,
06:00:00.000Z,06:15:00.000Z,16.7265625,,,,,,,,,,,,,900000,
06:15:00.000Z,06:30:00.000Z,16.7265625,,,,,,,,,,,,,900000,
06:30:00.000Z,06:45:00.000Z,16.7265625,,,,,,,,,,,,,900000,
06:45:00.000Z,07:00:00.000Z,16.7265625,,,,,,,,,,,,,900000,
07:00:00.000Z,07:15:00.000Z,16.7265625,,,,,,,,,,,,,900000,
07:15:00.000Z,07:30:00.000Z,16.7265625,,,,,,,,,,,,,900000,
07:30:00.000Z,07:45:00.000Z,16.7265625,,,,,,,,,,,,,900000,
07:45:00.000Z,08:00:00.000Z,16.7265625,,41.6749381,2.2857944,41.6749885,2.2858773,,,,,,,,900000,
08:00:00.000Z,08:15:00.000Z,16.7265625,,41.6749584,2.2857116,41.6752098,2.2858188,1.220000029,1.220000029,1.220000029,,,,,900000,
08:15:00.000Z,08:30:00.000Z,16.7265625,,41.6749585,2.2857542,41.6750202,2.2858947,,,,,,,,900000,
08:30:00.000Z,08:45:00.000Z,16.72656257,,41.674896,2.2857158,41.6749301,2.2859742,,,,44,,,,900000,
08:45:00.000Z,09:00:00.000Z,31.40001091,76.83146954,41.6749039,2.2856229,41.6749039,2.2856229,0.540652334,0.952298045,0.343975872,147,,,,629513,270487
09:00:00.000Z,09:15:00.000Z,16.7265625,,,,,,,,,,,,,900000,
09:15:00.000Z,09:30:00.000Z,16.7265625,,,,,,,,,,,,,900000,
09:30:00.000Z,09:45:00.000Z,16.7265625,,,,,,,,,,,,,900000,
09:45:00.000Z,10:00:00.000Z,16.7265625,,,,,,,,,,,,,900000,
10:00:00.000Z,10:15:00.000Z,16.7265625,,,,,,,,,,,,,900000,
10:15:00.000Z,10:30:00.000Z,16.7265625,,,,,,,,,,,,,900000,
10:30:00.000Z,10:45:00.000Z,16.7265625,,,,,,,,,,,,,900000,
10:45:00.000Z,11:00:00.000Z,16.7265625,,41.6748444,2.2855567,41.6750202,2.2858947,,,,11,,,,900000,
11:00:00.000Z,11:15:00.000Z,16.7265625,,,,,,,,,,,,,900000,
11:15:00.000Z,11:30:00.000Z,16.7265625,,,,,,,,,,,,,900000,
11:30:00.000Z,11:45:00.000Z,16.7265625,,,,,,,,,,,,,900000,
11:45:00.000Z,12:00:00.000Z,16.72656252,,,,,,,,,,,,,900000,
12:00:00.000Z,12:15:00.000Z,32.34491021,140.5347585,41.6749039,2.2856229,41.6749039,2.2856229,0.538234915,0.966459572,0.265333891,285,,,,612095,287905
12:15:00.000Z,12:30:00.000Z,50.77944745,766.1041304,41.6735521,2.2825752,41.6736244,2.2836049,1.288484729,1.62355113,0.847711623,1053,,,,272277,627723
12:30:00.000Z,12:45:00.000Z,31.89508164,182.4492258,41.67476,2.2856907,41.6749124,2.286199,0.791001694,1.536152601,0.391261369,280,,,,620387,279613
12:45:00.000Z,13:00:00.000Z,16.72656059,,,,,,,,,18,,,,900000,
13:00:00.000Z,13:15:00.000Z,16.72656059,,,,,,,,,,,,,900000,
13:15:00.000Z,13:30:00.000Z,16.72656059,,,,,,,,,,,,,900000,
13:30:00.000Z,13:45:00.000Z,16.72656119,,,,,,,,,,,,,900000,
13:45:00.000Z,14:00:00.000Z,16.72656146,,,,,,,,,,,,,900000,
14:00:00.000Z,14:15:00.000Z,16.72656146,,,,,,,,,,,,,900000,
14:15:00.000Z,14:30:00.000Z,18.37060984,2.768701553,,,,,,,,41,,,,869694,30306
14:30:00.000Z,14:45:00.000Z,17.98691168,3.460876942,,,,,1.395993928,1.429999948,0.289785326,25,,,,876767,23233
14:45:00.000Z,15:00:00.000Z,16.72656162,,41.6749626,2.2857783,41.6750026,2.2858904,1.429999948,1.429999948,1.429999948,,,,,900000,
15:00:00.000Z,15:15:00.000Z,23.25007917,3.460876942,41.6749846,2.2858339,41.6749846,2.2858339,,,,52,,,,779747,120253
15:15:00.000Z,15:30:00.000Z,16.7265625,,,,,,,,,27,,,,900000,
15:30:00.000Z,15:45:00.000Z,16.7265625,,,,,,,,,,,,,900000,
15:45:00.000Z,16:00:00.000Z,16.7265625,,,,,,,,,,,,,900000,
16:00:00.000Z,16:15:00.000Z,16.72656236,,,,,,,,,44,,,,900000,
16:15:00.000Z,16:30:00.000Z,52.36975592,174.4385682,,,,,0.529479073,0.717191577,0.346087664,323,,,,242961,657039
16:30:00.000Z,16:45:00.000Z,60.61432857,190.095497,,,,,0.634202398,1.406547666,0.288406372,320,,,,90983,809017
16:45:00.000Z,17:00:00.000Z,58.98433253,294.4627331,41.6707741,2.2882207,41.6707741,2.2882207,0.558097803,1.100133181,0.288406372,383,,,,121030,778970
17:00:00.000Z,17:15:00.000Z,52.39251691,476.9263891,41.6735173,2.2828582,41.6735173,2.2828582,0.545693889,0.74237299,0.349014789,342,,,,242542,657458
17:15:00.000Z,17:30:00.000Z,31.33100869,125.8392656,41.6735619,2.2825846,41.6749294,2.2859724,0.750103362,1.089198589,0.478536308,214,,,,444624,269215
17:30:00.000Z,17:45:00.000Z,16.72656155,,,,,,,,,,,,,760581,
17:45:00.000Z,18:00:00.000Z,16.72656241,,,,,,,,,,,,,733085,
18:00:00.000Z,18:15:00.000Z,16.72656234,,41.6750511,2.285692,41.6750511,2.285692,,,,70,,,,900000,
18:15:00.000Z,18:30:00.000Z,16.72656234,,,,,,,,,,,,,900000,
18:30:00.000Z,18:45:00.000Z,21.01738286,,41.6749039,2.2856229,41.6749039,2.2856229,,,,61,,,,820904,79096
18:45:00.000Z,19:00:00.000Z,17.35958327,,41.6749515,2.2856353,41.6749515,2.2856353,,,,,,,,888331,11669
19:00:00.000Z,19:15:00.000Z,16.72656197,,,,,,,,,,,,,235359,
19:15:00.000Z,19:30:00.000Z,16.72656077,,41.6749039,2.2856229,41.6750202,2.2858947,,,,,,,,818438,
19:30:00.000Z,19:45:00.000Z,16.72656059,,,,,,,,,,,,,900000,
19:45:00.000Z,20:00:00.000Z,16.72656059,,,,,,,,,,,,,900000,
20:00:00.000Z,20:15:00.000Z,16.72656059,,,,,,,,,,,,,900000,
20:15:00.000Z,20:30:00.000Z,16.72656059,,,,,,,,,,,,,900000,
20:30:00.000Z,20:45:00.000Z,16.72656059,,,,,,,,,,,,,900000,
20:45:00.000Z,21:00:00.000Z,16.72656059,,,,,,,,,,,,,900000,
21:00:00.000Z,21:15:00.000Z,16.72656059,,41.6749081,2.285633,41.6749081,2.285633,,,,44,,,,900000,
21:15:00.000Z,21:30:00.000Z,16.72656059,,41.6749553,2.2856251,41.6749553,2.2856251,,,,16,,,,900000,
21:30:00.000Z,21:45:00.000Z,16.72656059,,,,,,,,,,,,,900000,
21:45:00.000Z,22:00:00.000Z,16.72656059,,,,,,,,,,,,,900000,
22:00:00.000Z,22:15:00.000Z,16.72656059,,,,,,,,,,,,,900000,
22:15:00.000Z,22:30:00.000Z,16.72656059,,41.674912,2.2856417,41.674912,2.2856417,,,,,,,,900000,
22:30:00.000Z,22:45:00.000Z,16.72656059,,,,,,,,,,,,,900000,
22:45:00.000Z,23:00:00.000Z,16.72656059,,41.6749898,2.285593,41.6749898,2.285593,,,,,,,,900000,
23:00:00.000Z,23:15:00.000Z,16.72656059,,,,,,,,,,,,,900000,
23:15:00.000Z,23:30:00.000Z,16.72656059,,41.6748993,2.2856321,41.6748993,2.2856321,,,,,,,,900000,
23:30:00.000Z,23:45:00.000Z,16.72656059,,,,,,,,,,,,,900000,
23:45:00.000Z,00:00:00.000Z,16.72656059,,,,,,,,,,,,,900000,
