datetime,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Walking duration (ms),Running duration (ms)
15:00:00.000Z,15:15:00.000Z,16.72656183,,41.6749302,2.2856224,41.6749302,2.2856224,,,,,,,,900000,,
15:15:00.000Z,15:30:00.000Z,28.22024981,68.52536392,41.6748823,2.2856556,41.6748823,2.2856556,0.458541468,0.570995271,0.346087664,121,,,,688128,211872,
15:30:00.000Z,15:45:00.000Z,16.72656059,,41.6749978,2.2858018,41.6749978,2.2858018,,,,,,,,900000,,
15:45:00.000Z,16:00:00.000Z,16.72656059,,,,,,,,,,,,,900000,,
16:00:00.000Z,16:15:00.000Z,16.72656059,,41.6748948,2.2856502,41.6748948,2.2856502,,,,,,,,900000,,
16:15:00.000Z,16:30:00.000Z,16.72656047,,41.6749655,2.2857317,41.6750178,2.2858899,,,,,,,,900000,,
16:30:00.000Z,16:45:00.000Z,44.16364524,403.5174208,41.6717194,2.2856177,41.6750753,2.2874435,2.064241951,3.210000038,0.906989217,413,,,,637424,115156,147420
16:45:00.000Z,17:00:00.000Z,148.6114415,1869.445105,41.6770517,2.2879625,41.681292,2.2882752,2.480676108,3.534311295,0.491708875,2032,,,,,115201,784799
17:00:00.000Z,17:15:00.000Z,108.7167239,1103.144866,41.6705547,2.2859006,41.6749747,2.2885609,1.571771706,2.99000001,0.249292314,1030,,,,82406,369343,448251
17:15:00.000Z,17:30:00.000Z,16.72656188,,41.6748898,2.2856803,41.6750178,2.2858899,,,,41,,,,705732,,
17:30:00.000Z,17:45:00.000Z,20.05729682,22.63583374,41.6748893,2.2856795,41.6748893,2.2856795,0.368673801,0.368673801,0.368673801,55,,,,508639,61398,
17:45:00.000Z,18:00:00.000Z,16.72656172,,,,,,,,,,,,,900000,,
18:00:00.000Z,18:15:00.000Z,16.72656172,,,,,,,,,,,,,900000,,
18:15:00.000Z,18:30:00.000Z,16.72656202,,41.6748827,2.2856119,41.675004,2.2856696,,,,,,,,869391,,
18:30:00.000Z,18:45:00.000Z,16.7265625,,,,,,,,,,,,,900000,,
18:45:00.000Z,19:00:00.000Z,16.7265625,,,,,,,,,,,,,900000,,
19:00:00.000Z,19:15:00.000Z,16.7265625,,,,,,,,,,,,,900000,,
19:15:00.000Z,19:30:00.000Z,16.72656251,,41.6749917,2.2858811,41.6749917,2.2858811,,,,42,,,,900000,,
19:30:00.000Z,19:45:00.000Z,23.21129836,68.52536488,41.6727745,2.2825463,41.6751012,2.2859125,0.605618764,0.706919789,0.350686431,387,,,,780462,119538,
19:45:00.000Z,20:00:00.000Z,18.313703,6.052736932,41.6748906,2.2856452,41.6748906,2.2856452,,,,55,,,,870743,29257,
20:00:00.000Z,20:15:00.000Z,23.18373109,40.32301456,41.6748823,2.2856698,41.6749332,2.2856805,0.549443722,0.619215667,0.479671776,76,,,,780970,119030,
20:15:00.000Z,20:30:00.000Z,16.72656059,,,,,,,,,,,,,900000,,
20:30:00.000Z,20:45:00.000Z,16.72656059,,,,,,,,,,,,,900000,,
