datetime,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Walking duration (ms)
00:00:00.000Z,00:15:00.000Z,39.34965996,196.34704,,,,,0.676546993,0.763109326,0.556519449,305,,,,482971,417029
00:15:00.000Z,00:30:00.000Z,18.41183898,,41.674989,2.2858515,41.6750188,2.2858874,,,,,,,,868934,31066
00:30:00.000Z,00:45:00.000Z,16.7265625,,,,,,,,,,,,,900000,
00:45:00.000Z,01:00:00.000Z,16.7265625,,,,,,,,,,,,,900000,
01:00:00.000Z,01:15:00.000Z,16.7265625,,,,,,,,,,,,,900000,
01:15:00.000Z,01:30:00.000Z,16.7265625,,41.6751106,2.2858516,41.6751106,2.2858516,1.370000005,1.370000005,1.370000005,,,,,900000,
01:30:00.000Z,01:45:00.000Z,16.7265625,,,,,,,,,,,,,900000,
01:45:00.000Z,02:00:00.000Z,16.7265625,,,,,,,,,,,,,900000,
02:00:00.000Z,02:15:00.000Z,16.7265625,,,,,,1.370000005,1.370000005,1.370000005,,,,,900000,
02:15:00.000Z,02:30:00.000Z,16.7265625,,,,,,,,,,,,,900000,
02:30:00.000Z,02:45:00.000Z,16.7265625,,,,,,,,,,,,,900000,
02:45:00.000Z,03:00:00.000Z,16.7265625,,,,,,,,,,,,,900000,
03:00:00.000Z,03:15:00.000Z,16.7265625,,,,,,,,,,,,,900000,
03:15:00.000Z,03:30:00.000Z,16.7265625,,,,,,,,,,,,,900000,
03:30:00.000Z,03:45:00.000Z,16.7265625,,,,,,,,,,,,,900000,
03:45:00.000Z,04:00:00.000Z,16.7265625,,,,,,,,,,,,,900000,
04:00:00.000Z,04:15:00.000Z,16.7265625,,41.6750202,2.2858947,41.6750202,2.2858947,1.370000005,1.370000005,1.370000005,,,,,900000,
04:15:00.000Z,04:30:00.000Z,16.7265625,,,,,,,,,,,,,900000,
04:30:00.000Z,04:45:00.000Z,16.7265625,,,,,,,,,,,,,900000,
04:45:00.000Z,05:00:00.000Z,16.7265625,,,,,,,,,,,,,900000,
05:00:00.000Z,05:15:00.000Z,16.7265625,,,,,,,,,,,,,900000,
05:15:00.000Z,05:30:00.000Z,16.7265625,,,,,,,,,,,,,900000,
05:30:00.000Z,05:45:00.000Z,16.7265625,,,,,,,,,,,,,900000,
05:45:00.000Z,06:00:00.000Z,16.7265625,,,,,,,,,,,,,900000,
06:00:00.000Z,06:15:00.000Z,16.7265625,,,,,,,,,,,,,900000,
06:15:00.000Z,06:30:00.000Z,16.7265625,,,,,,,,,,,,,900000,
06:30:00.000Z,06:45:00.000Z,16.7265625,,,,,,,,,,,,,900000,
06:45:00.000Z,07:00:00.000Z,16.7265625,,,,,,,,,,,,,900000,
07:00:00.000Z,07:15:00.000Z,16.7265625,,,,,,,,,,,,,900000,
07:15:00.000Z,07:30:00.000Z,16.7265625,,,,,,,,,,,,,900000,
07:30:00.000Z,07:45:00.000Z,16.7265625,,,,,,,,,,,,,900000,
07:45:00.000Z,08:00:00.000Z,16.7265625,,,,,,,,,,,,,900000,
08:00:00.000Z,08:15:00.000Z,16.7265625,,,,,,,,,,,,,900000,
08:15:00.000Z,08:30:00.000Z,16.7265625,,,,,,,,,,,,,900000,
08:30:00.000Z,08:45:00.000Z,16.7265625,,,,,,,,,,,,,900000,
08:45:00.000Z,09:00:00.000Z,16.7265625,,,,,,,,,,,,,900000,
09:00:00.000Z,09:15:00.000Z,16.7265625,,41.6749927,2.2858509,41.6749927,2.2858509,,,,,,,,900000,
09:15:00.000Z,09:30:00.000Z,16.7265634,,,,,,,,,,,,,900000,
09:30:00.000Z,09:45:00.000Z,16.72656343,,,,,,,,,,,,,900000,
09:45:00.000Z,10:00:00.000Z,30.67118822,4.929367065,41.6749039,2.2856229,41.6749659,2.2858198,,,,80,,,,642948,257052
10:00:00.000Z,10:15:00.000Z,38.5797707,125.9759197,41.6750026,2.2856903,41.6750026,2.2856903,0.548316459,0.966065824,0.346087664,182,,,,497163,402837
10:15:00.000Z,10:30:00.000Z,16.72656215,,41.6749234,2.2855582,41.6749882,2.2857444,,,,,,,,900000,
10:30:00.000Z,10:45:00.000Z,20.69224418,46.3757515,,,,,0.793631762,0.855106473,0.732157052,78,,,,826897,73103
10:45:00.000Z,11:00:00.000Z,16.72656209,,,,,,,,,11,,,,900000,
11:00:00.000Z,11:15:00.000Z,16.72656209,,41.6750755,2.2855624,41.6750755,2.2855624,,,,,,,,900000,
11:15:00.000Z,11:30:00.000Z,32.9406627,63.05127525,41.6749039,2.2856229,41.6749039,2.2856229,0.458472058,0.482730627,0.434213489,218,,,,450190,298887
11:30:00.000Z,11:45:00.000Z,23.26043983,53.15109201,41.6746997,2.2856265,41.6749611,2.2861794,0.438060731,0.490340352,0.385781109,19,,,,568909,120444
11:45:00.000Z,12:00:00.000Z,21.62523441,55.42806721,,,,,0.792901531,1.295698285,0.290104777,82,,,,809699,90301
12:00:00.000Z,12:15:00.000Z,25.29496595,19.23285341,41.6749283,2.2856244,41.6750025,2.2856466,1.103313444,1.809999943,0.305301219,86,,,,742052,157948
12:15:00.000Z,12:30:00.000Z,16.72656059,,,,,,,,,,,,,900000,
12:30:00.000Z,12:45:00.000Z,16.72656059,,41.6749117,2.2856004,41.6749117,2.2856004,,,,,,,,900000,
12:45:00.000Z,13:00:00.000Z,16.72656059,,,,,,,,,,,,,900000,
13:00:00.000Z,13:15:00.000Z,16.72656059,,41.6749039,2.2856229,41.6750202,2.2858947,,,,,,,,900000,
13:15:00.000Z,13:30:00.000Z,16.72656059,,41.674912,2.285634,41.674912,2.285634,,,,,,,,900000,
13:30:00.000Z,13:45:00.000Z,16.72656059,,,,,,,,,,,,,900000,
13:45:00.000Z,14:00:00.000Z,16.72656059,,,,,,,,,,,,,900000,
14:00:00.000Z,14:15:00.000Z,16.72656047,,41.6749474,2.2856036,41.6750202,2.2858947,1.962500036,2.400000095,1.129999995,,,,,900000,
14:15:00.000Z,14:30:00.000Z,24.02235643,,41.6749585,2.2857212,41.6749817,2.2858522,1.919999957,1.919999957,1.919999957,295,,,,402690,134489
14:30:00.000Z,14:45:00.000Z,16.72656169,,41.6749224,2.2857167,41.6749938,2.2858536,,,,,,,,900000,
14:45:00.000Z,15:00:00.000Z,16.72656169,,,,,,,,,,,,,900000,
15:00:00.000Z,15:15:00.000Z,16.72656169,,,,,,,,,,,,,900000,
15:15:00.000Z,15:30:00.000Z,20.24417209,7.009286165,41.6749163,2.2856594,41.6749163,2.2856594,,,,37,,,,835157,64843
15:30:00.000Z,15:45:00.000Z,16.72656127,,41.6749039,2.2856229,41.6750052,2.2857208,,,,,,,,900000,
15:45:00.000Z,16:00:00.000Z,23.43408859,30.45571756,,,,,0.329341888,0.346087694,0.312596083,93,,,,776355,123645
16:00:00.000Z,16:15:00.000Z,63.5431974,1050.941387,41.6749581,2.2857894,41.6807296,2.287736,1.248156213,1.777346253,0.995232284,1550,,,,36993,863007
16:15:00.000Z,16:30:00.000Z,65.55000357,888.310691,41.6807271,2.285877,41.6844727,2.2883699,0.912130807,1.568727374,0.362607151,1395,,,,,900000
16:30:00.000Z,16:45:00.000Z,49.95585074,529.8245172,41.6749081,2.2856336,41.676234,2.2870059,0.90532016,1.132225513,0.167962775,952,,,,287459,612541
16:45:00.000Z,17:00:00.000Z,16.7265625,,,,,,,,,,,,,900000,
17:00:00.000Z,17:15:00.000Z,16.7265625,,,,,,,,,,,,,900000,
17:15:00.000Z,17:30:00.000Z,16.7265625,,41.6749086,2.2856198,41.6749086,2.2856198,,,,,,,,900000,
17:30:00.000Z,17:45:00.000Z,16.7265625,,,,,,,,,36,,,,900000,
17:45:00.000Z,18:00:00.000Z,16.7265625,,,,,,,,,21,,,,900000,
18:00:00.000Z,18:15:00.000Z,16.7265625,,,,,,,,,20,,,,900000,
18:15:00.000Z,18:30:00.000Z,16.7265625,,,,,,,,,,,,,900000,
18:30:00.000Z,18:45:00.000Z,16.72656255,,,,,,,,,,,,,900000,
18:45:00.000Z,19:00:00.000Z,16.72656316,,,,,,,,,,,,,900000,
19:00:00.000Z,19:15:00.000Z,17.16201402,5.361951613,,,,,0.667989492,0.667989492,0.667989492,89,,,,891973,8027
